original_text,adversarial_text,original_label,requests_used,num_perturbed,attack_successful,timestamp
"alex nohe's documentary plays like a travelogue for what mostly resembles a real-life , big-budget nc-17 version of tank girl .","alex nohe 's documentary plays like a travelogue for what mostly reembles a real - life, big - budget nc-17 version of tank girl.",negative,31,1,True,2025-08-07T10:21:59.052034
"a beautiful , timeless and universal tale of heated passions -- jealousy , betrayal , forgiveness and murder .","a b3autiful, dateless and univrsal tal e of heated passions - - jealousy, betrayal, forgiveness and murder.",positive,43,5,True,2025-08-07T10:21:59.052062
ya-yas everywhere will forgive the flaws and love the film .,ya - yas everywhere will forgive the flaw$ and lov e the film.,positive,22,2,True,2025-08-07T10:21:59.052080
"watching the powerpuff girls movie , my mind kept returning to one anecdote for comparison : the cartoon in japan that gave people seizures .","watching the powerpuff girls movie, my mind kept returning to one anecdote for comparison : the cartoon in japan that gave people seiures.",negative,30,1,True,2025-08-07T10:21:59.052091
"austin powers in goldmember is a cinematic car wreck , a catastrophic collision of tastelessness and gall that nevertheless will leave fans clamoring for another ride .","austin powers in goldmember is a cinematic car wre ck, a catastrophic collision of tastelessness and gall that nevertheless will leave fans c1amoring for another ride.",negative,36,2,True,2025-08-07T10:21:59.052109
"[gai] comes closer to any actress i can remember to personifying independence in its purest and , yes , most intimidating form .","[ gai ] comes closer to any actress i can remember t o personifying independence inwards its purest and, yes, most intimidating form.",positive,48,4,True,2025-08-07T10:21:59.052142
the pool drowned me in boredom .,the pool droned me in ennui.,negative,20,2,True,2025-08-07T10:21:59.052159
"the tone is balanced , reflective and reasonable .","the t one is balanced , reflective amd rasonable .",positive,49,9,False,2025-08-07T10:21:59.052173
brings an irresistible blend of warmth and humor and a consistent embracing humanity in the face of life's harshness .,brngs an irre$istible bled of warth and hum or and a consistent embracing humanity in the face of life 's harshness.,positive,45,5,True,2025-08-07T10:21:59.052197
"a ragbag of promising ideas and failed narrative , of good acting and plain old bad filmmaking .","a ragbag of promising ideas and failde narrative, of good acting and p lain old risky filmmaing.",negative,37,4,True,2025-08-07T10:21:59.052211
writer/director alexander payne ( election ) and his co-writer jim taylor brilliantly employ their quirky and fearless ability to look american angst in the eye and end up laughing .,witer / director alexander pa yne ( election ) and his co - writer jim taylor billiantly employ theri quiky amd farless aility t o depend amrican agst in the eyeball amd end up laughing.,positive,121,18,True,2025-08-07T10:21:59.052256
"a well-done film of a self-reflexive , philosophical nature .","a wellspring - dne f ilm of a self - reflexive , philosophical naure .",positive,63,14,False,2025-08-07T10:21:59.052292
"entertains not so much because of its music or comic antics , but through the perverse pleasure of watching disney scrape the bottom of its own cracker barrel .","entertains not so much because of its music or comic antics, but through the perverse plesure of watching disney scrape the bottom of its own snapper barrel.",positive,39,2,True,2025-08-07T10:21:59.052303
"an amusing and unexpectedly insightful examination of sexual jealousy , resentment and the fine line between passion and pretence .","an laughable and unexpectedly insightful examination of sexual jealousy, resentment and the fine line between passion and pretence.",positive,28,1,True,2025-08-07T10:21:59.052341
