original_text,adversarial_text,original_label,requests_used,training_requests_used,num_perturbed,attack_successful,timestamp
"occasionally funny , always very colorful and enjoyably overblown in the traditional almodóvar style .","occasionally fu nny, always very coorful and enjoyably pontifical in the traditional alodóvar stye.",positive,22,741,19,False,2025-08-11T21:49:23.863059
becomes the last thing you would expect from a film with this title or indeed from any plympton film : boring .,becomes the last t hing you would expect from a fil m with this ti tle or indeed from any plymptn film : boring.,negative,21,741,18,False,2025-08-11T21:49:23.863105
"sodden and glum , even in those moments where it's supposed to feel funny and light .","soden and gl um, even in those moments where it 's supposed to feel funny and light.",negative,7,741,5,True,2025-08-11T21:49:23.863126
"some movies were made for the big screen , some for the small screen , and some , like ballistic : ecks vs . sever , were made for the palm screen .","some movis were made for the big screen, some for the small screen, and some, like ballistic : ecks vs. sever , were made for the palm screen .",negative,4,741,1,True,2025-08-11T21:49:23.863144
"it's not only dull because we've seen [eddie] murphy do the genial-rogue shtick to death , but because the plot is equally hackneyed .","it's not only dull because we've seen [eddie] murphy do the genial-rogue shtick to death , but because the plot is equally hackneyed .",negative,14,741,11,False,2025-08-11T21:49:23.863164
"if you're looking for a smart , nuanced look at de sade and what might have happened at picpus , sade is your film .","if you 're looking for a smrat, nuanced l ook at de sade and what might have happened at picpus, sade is your film.",positive,8,741,6,True,2025-08-11T21:49:23.863184
"it's hard to believe that a relationship like holly and marina's could survive the hothouse emotions of teendom , and its longevity gets more inexplicable as the characterizations turn more crassly reductive .","it 's hard to believe that a family relationship like holly and mrina 's could surviv3 the conservatory emotion of teendom, and its longevity gets more inexplicable as the characterizations turn more crassly reductive.",negative,20,741,17,False,2025-08-11T21:49:23.863202
friday after next is the kind of film that could only be made by african-americans because of its broad racial insensitivity towards african-americans .,Fri after next is the knd of flm that could only be made by african - americans because of its broad racial insensitivity towards african - americans.,negative,11,741,9,True,2025-08-11T21:49:23.863246
the worst film of the year .,th e w orst f1lm of the y ear.,negative,10,741,8,True,2025-08-11T21:49:23.863269
"it made me feel unclean , and i'm the guy who liked there's something about mary and both american pie movies . oh , and booty call .","it made me fel unclean, and i 'm the guy who liked there 's something about mary and both american pie movies. oh , and booty call .",negative,5,741,2,True,2025-08-11T21:49:23.863280
"hardly a nuanced portrait of a young woman's breakdown , the film nevertheless works up a few scares .","hardly a nuanced portait of a young woman 's breakdown, the film nevertheless works up a few scares.",positive,3,741,1,True,2025-08-11T21:49:23.863299
"this starts off with a 1950's doris day feel and it gets very ugly , very fast . the first five minutes will have you talking 'til the end of the year !","this stars off with a 1950 's do ris da y fel and it gets very ugly, very fas t. the first five minutes will have you talking 'til the end of the year !",negative,16,741,13,True,2025-08-11T21:49:23.863315
"more vaudeville show than well-constructed narrative , but on those terms it's inoffensive and actually rather sweet .","more vaudeville show than well - constructed narrative, but on those terms it 's inoffensive and actually rather sw eet.",positive,16,741,14,True,2025-08-11T21:49:23.863336
'cq may one day be fondly remembered as roman coppola's brief pretentious period before going on to other films that actually tell a story worth caring about,' c q may one day be fondly remembered as roman coppola 's brief pretentious period before going on to other films that actually tell a story worth caring about,negative,3,741,1,True,2025-08-11T21:49:23.863354
"the inspirational screenplay by mike rich covers a lot of ground , perhaps too much , but ties things together , neatly , by the end .","the inspirational screenplay by m ike rich cut across a passel of grund, perhaps too much, but ties things together, neatly, by the end.",positive,17,741,14,False,2025-08-11T21:49:23.863375
it's probably worth catching solely on its visual merits . if only it had the story to match .,it 's probably wroth catching solely on its visual merits. if only it had the story to match .,positive,6,741,3,True,2025-08-11T21:49:23.863394
"fairy-tale formula , serves as a paper skeleton for some very good acting , dialogue , comedy , direction and especially charm .","poof - ta le fomula, assist as a pape r skeleton for some very good acting, dialogue, comedy, direction and especially charm.",positive,22,741,19,False,2025-08-11T21:49:23.863410
"the color sense of stuart little 2 is its most immediate and most obvious pleasure , but it would count for very little if the movie weren't as beautifully shaped and as delicately calibrated in tone as it is .","the clor common sense of stuatr little 2 is its most immediae and most obvious pleasre, but it would count for very little if the movie were n't as beautifully shaped and as delicately calibrated in tone as it is.",positive,19,741,17,True,2025-08-11T21:49:23.863430
the most surprising thing about this film is that they are actually releasing it into theaters .,the most storm thing about this film is that they are actually releasing it into theaters.,positive,6,741,4,True,2025-08-11T21:49:23.863454
a fan film that for the uninitiated plays better on video with the sound turned down .,a devotee photographic film that for the uninitiated pl ays better on viedo with the sound turned down.,negative,16,741,14,True,2025-08-11T21:49:23.863469
"strong filmmaking requires a clear sense of purpose , and in that oh-so-important category , the four feathers comes up short .","strong filmmaking requires a clear senes of purpose, and in that oh - so - important category, the four feathers comes up short.",positive,5,741,3,True,2025-08-11T21:49:23.863485
". . . an otherwise intense , twist-and-turn thriller that certainly shouldn't hurt talented young gaghan's resume .",error,error,0,0,False,2025-08-11T21:49:23.863503
cho's timing is priceless .,ch o 's tming is priceess.,positive,6,741,4,True,2025-08-11T21:49:23.863517
. . . a lesson in prehistoric hilarity .,error,error,0,0,False,2025-08-11T21:49:23.863529
