original_text,adversarial_text,original_label,requests_used,training_requests_used,num_perturbed,attack_successful,timestamp
"occasionally funny , always very colorful and enjoyably overblown in the traditional almodóvar style .","occasionally funny, alway$ rattling colorful and enjyoably overblown in the taditional almodóvar style.",positive,17,741,15,True,2025-08-11T21:57:06.615803
becomes the last thing you would expect from a film with this title or indeed from any plympton film : boring .,becomes the lst thing you would expect from a film with this title or indeed from any plympton film : boring.,negative,4,741,2,True,2025-08-11T21:57:06.615854
"sodden and glum , even in those moments where it's supposed to feel funny and light .","soddem and g1um, 3ven in those moments where it 's supposed to f eel fun ny and light.",positive,17,741,15,True,2025-08-11T21:57:06.615878
"some movies were made for the big screen , some for the small screen , and some , like ballistic : ecks vs . sever , were made for the palm screen .","some movies were made for the bi g screen, some for the modest screen, and some, like ba1listic : ecks vs. sever , were made for the palm screen .",neutral,11,741,8,True,2025-08-11T21:57:06.615898
"it's not only dull because we've seen [eddie] murphy do the genial-rogue shtick to death , but because the plot is equally hackneyed .","it 's no t onl y dull because we 've seen [ eddie ] murphy do the genial - rogue shtick to death, but because the plot is equally hackneyed.",negative,6,741,4,True,2025-08-11T21:57:06.615923
"if you're looking for a smart , nuanced look at de sade and what might have happened at picpus , sade is your film .","if you 're looking for a smart, nunced look at de sade and what might have happened at picpus, sade is your film.",positive,3,741,1,True,2025-08-11T21:57:06.615946
"it's hard to believe that a relationship like holly and marina's could survive the hothouse emotions of teendom , and its longevity gets more inexplicable as the characterizations turn more crassly reductive .","it 's operose to believe that a relationship like Charles Hardin Holley and marina 's could survive the hothouse emotions of teendom, and its longevity gets Sir Thomas More ineplicable as the characterizations turn mo re crassly reductive.",negative,21,741,18,False,2025-08-11T21:57:06.615967
friday after next is the kind of film that could only be made by african-americans because of its broad racial insensitivity towards african-americans .,friday after next is the kind of film that could only be made by african - americans because of its br oad racial insensitivity towards african - americans.,neutral,8,741,6,True,2025-08-11T21:57:06.615996
the worst film of the year .,the wrst film of the year.,negative,4,741,2,True,2025-08-11T21:57:06.616020
"it made me feel unclean , and i'm the guy who liked there's something about mary and both american pie movies . oh , and booty call .","it made me feel unclan, and i 'm the guy who liked there 's something about mary and both american pie movies. oh , and booty call .",negative,4,741,1,True,2025-08-11T21:57:06.616034
"hardly a nuanced portrait of a young woman's breakdown , the film nevertheless works up a few scares .","hardly a nuaced portrait of a Danton True Young woman 's breakdown, the film nevertheless works up a f3w scares.",mixed,11,741,9,True,2025-08-11T21:57:06.616056
"this starts off with a 1950's doris day feel and it gets very ugly , very fast . the first five minutes will have you talking 'til the end of the year !","this starts off with a 1950 's doris day feel and it gets v ery ug ly, very fast. the first five minutes will have you talking 'til the end of the year !",negative,7,741,4,True,2025-08-11T21:57:06.616075
"more vaudeville show than well-constructed narrative , but on those terms it's inoffensive and actually rather sweet .","mor e vaudeville show than wel - constructed story, but on those terms it 's unoffending and in reality rather sweet.",mixed,20,741,18,True,2025-08-11T21:57:06.616098
'cq may one day be fondly remembered as roman coppola's brief pretentious period before going on to other films that actually tell a story worth caring about,' cq may one day be fondy remembered as roman coppola 's brief ostentatious period before going on to 0ther films that actually tell a story worth caring about,positive,11,741,9,True,2025-08-11T21:57:06.616119
"the inspirational screenplay by mike rich covers a lot of ground , perhaps too much , but ties things together , neatly , by the end .","the inspirational screenplay by mike ric h covers a lot of ground, possibly t oo muh, but ties things together, neatly, by the end.",mixed,16,741,14,True,2025-08-11T21:57:06.616142
it's probably worth catching solely on its visual merits . if only it had the story to match .,it 's in all likelihood woth catchnig s0lely on its v1sual merits. if o nly it had the story to match.,mixed,21,741,18,True,2025-08-11T21:57:06.616164
