example_id,original_text,adversarial_text,original_label,new_label,requests_used,num_perturbations,attack_successful,string_similarity,perturbation_ratio,method_name,batch_size,timestamp
1,"occasionally funny , always very colorful and enjoyably overblown in the traditional almodóvar style .","occaionally fun ny, always selfsame coloful and enjoyabyl overblown in the traditional almodóvar stye.",positive,positive,35,6,False,1.0,0.0,single_word,1,2025-08-11T23:34:01.609657
2,becomes the last thing you would expect from a film with this title or indeed from any plympton film : boring .,become the lst affair yo u would epxect from a fil m with this title or indeed from @ny plympton film : tire.,negative,neutral,49,8,True,0.8818181818181818,1.0454545454545454,single_word,1,2025-08-11T23:34:01.609674
3,"sodden and glum , even in those moments where it's supposed to feel funny and light .","sdden an d glm, even 1n th ose moments whee i t 's suppsed to feel funny and light.",negative,neutral,43,8,True,0.9285714285714286,1.1666666666666667,single_word,1,2025-08-11T23:34:01.609684
4,"some movies were made for the big screen , some for the small screen , and some , like ballistic : ecks vs . sever , were made for the palm screen .","some moies comprise ma de for the big screen, some for the small screen, and some, like ballistic : ecks quintet. sever, wre made for the pa1 m screen.",neutral,positive,61,6,True,0.903010033444816,1.0303030303030303,single_word,1,2025-08-11T23:34:01.609690
5,"it's not only dull because we've seen [eddie] murphy do the genial-rogue shtick to death , but because the plot is equally hackneyed .","1t 's non entirely dul because w3 ' ve seen [ eddie ] murphy do the genial - rogue shtick to death, but because the plot is equally hackneyed.",negative,negative,52,5,False,1.0,0.0,single_word,1,2025-08-11T23:34:01.609716
6,"if you're looking for a smart , nuanced look at de sade and what might have happened at picpus , sade is your film .","if you 're looking for a smart, nuanced look at de sade and what might have happened at picpus, sade cost your film.",positive,negative,48,1,True,0.9655172413793104,0.038461538461538464,single_word,1,2025-08-11T23:34:01.609722
7,"it's hard to believe that a relationship like holly and marina's could survive the hothouse emotions of teendom , and its longevity gets more inexplicable as the characterizations turn more crassly reductive .","1t 's hard to believe that a relationship like holly and marina 's cuold survive the hothouse emotions of teendom, a nd its longevity gets more inexplicable as the word - painting turn more crssly reductive.",negative,negative,66,5,False,1.0,0.0,single_word,1,2025-08-11T23:34:01.609739
8,friday after next is the kind of film that could only be made by african-americans because of its broad racial insensitivity towards african-americans .,friday after next is the kind of film that could only be made by african - americans because of its broad racial isnensitivity towards african - americans.,negative,positive,54,1,True,0.9771986970684039,0.03571428571428571,single_word,1,2025-08-11T23:34:01.609752
9,the worst film of the year .,the wost f ilm 0f the y ear.,negative,negative,17,4,False,1.0,0.0,single_word,1,2025-08-11T23:34:01.609763
10,"it made me feel unclean , and i'm the guy who liked there's something about mary and both american pie movies . oh , and booty call .","i t mae Maine fel unclean, amd i ' m the guy who liked there 's something about mary and both american pie movies. oh , and booty call .",negative,negative,50,5,False,1.0,0.0,single_word,1,2025-08-11T23:34:01.609775
11,"hardly a nuanced portrait of a young woman's breakdown , the film nevertheless works up a few scares .","hardly a nuanced portrait of a young woman 's breakdown, the film even so works up a few scares.",neutral,positive,32,1,True,0.9292929292929293,0.4,single_word,1,2025-08-11T23:34:01.609781
