original_text,adversarial_text,original_label,requests_used,num_perturbed,attack_successful,timestamp
"a powerful , inflammatory film about religion that dares to question an ancient faith , and about hatred that offers no easy , comfortable resolution .","a powerul, inflammatory fi1m about relig1on tha t darse to question an anciet fiath, and about hatred that offers n o easy, comfortable resolution.",positive,136,26,True,2025-08-07T11:39:30.452479
it's so good that you can practically see the hollywood 'suits' trying to put together the cast and filmmaking team for the all-too -inevitable american remake .,it 's $o god that you can much see the hollywood ' suits ' trying to put toether the cas t and filmmaking te am for the a ll - too -inevitable american remake .,positive,179,32,False,2025-08-07T11:39:30.452506
"the setting is so cool that it chills the characters , reducing our emotional stake in the outcome of "" intacto's "" dangerous and seductively stylish game .","the setting is so col that it chills the characters, reducing our emotional stake in the outcome of "" intacto 's "" dangerous and seductively stylish g ame.",positive,53,5,True,2025-08-07T11:39:30.452519
"nicks refuses to let slackers be seen as just another teen movie , which means he can be forgiven for frequently pandering to fans of the gross-out comedy .","nicks refuses to let slackers be seen as just another teen movie, which means he can be forgiven for frequently pandering to fans of the gross - out comedy.",neutral,35,1,True,2025-08-07T11:39:30.452533
"as if to prove a female director can make a movie with no soft edges , kathryn bigelow offers no sugar-coating or interludes of lightness . her film is unrelentingly claustrophobic and unpleasant .","as if to prove a female director can make a movie with no soft edges , kathryn bigelow offers no sugar-coating or interludes of lightness . her fim 1s unrelemtingly claustrophob1c @nd unpleasatn .",negative,48,8,False,2025-08-07T11:39:30.452552
"a loud , ugly , irritating movie without any of its satirical salvos hitting a discernible target .","a loud, ug ly, iritating m ovie withut @ny of i ts satirical salvos collide with a discenible target.",negative,88,18,True,2025-08-07T11:39:30.452565
"take care is nicely performed by a quintet of actresses , but nonetheless it drags during its 112-minute length .","take care embody nicely performed by a quintet of actresses, but nonetheless it sweep during its 112 - minute length.",neutral,35,2,True,2025-08-07T11:39:30.452574
both a grand tour through 300 hundred years of russian cultural identity and a stunning technical achievement .,both a rattling tour through 300 hundred long time of russian cultural identity and a stumning technical achevement.,positive,41,4,True,2025-08-07T11:39:30.452584
fessenden's narrative is just as much about the ownership and redefinition of myth as it is about a domestic unit finding their way to joy .,fessendne 's narrative represent just as muh aobut the ownership and rdefinition of myth as information technology is about a domestic unit notice their mode to joy .,positive,157,27,False,2025-08-07T11:39:30.452594
this is the kind of movie where people who have never picked a lock do so easily after a few tries and become expert fighters after a few weeks .,this personify the kind of movie where people wh o have ne'er picked a lock do so easily after a few tris and becmoe expert fighters after a few weeks.,positive,80,10,True,2025-08-07T11:39:30.452605
