example_id,original_text,adversarial_text,original_label,new_label,requests_used,num_perturbations,attack_successful,string_similarity,perturbation_ratio,method_name,batch_size,timestamp
1,"occasionally funny , always very colorful and enjoyably overblown in the traditional almodóvar style .","occasionally fu nny, alwys vry coloured and ejnoyably overblown in the traditional almodóvar stye.",positive,neutral,17,6,True,0.93,1.0,multi_word,3,2025-08-12T00:38:26.105724
2,becomes the last thing you would expect from a film with this title or indeed from any plympton film : boring .,bcomes the lat affair you would anticipate from a flick with this ttile o r indeed from @ny plympton film : broing.,negative,positive,24,9,True,0.831858407079646,0.7272727272727273,multi_word,3,2025-08-12T00:38:26.105734
3,"sodden and glum , even in those moments where it's supposed to feel funny and light .","soden an d sullen, ev en 1n thos e moments whree i t 's suppoesd to feel funny and light.",negative,neutral,21,9,True,0.8735632183908046,1.2222222222222223,multi_word,3,2025-08-12T00:38:26.105745
4,"some movies were made for the big screen , some for the small screen , and some , like ballistic : ecks vs . sever , were made for the palm screen .","some movies were made for the big screen , some for the small screen , and some , like ballistic : ecks vs . sever, represent made for the p@lm sceen.",neutral,positive,29,3,True,0.9530201342281879,0.09090909090909091,multi_word,3,2025-08-12T00:38:26.105754
5,"it's not only dull because we've seen [eddie] murphy do the genial-rogue shtick to death , but because the plot is equally hackneyed .","it 's non but dll because w e ' ve seen [ eddie ] murphy do the genial - rogue shtick to death, but because the plot is equalyl hacneyed.",negative,neutral,26,6,True,0.915129151291513,0.9666666666666667,multi_word,3,2025-08-12T00:38:26.105772
6,"if you're looking for a smart , nuanced look at de sade and what might have happened at picpus , sade is your film .","if you 're seem f or a s mart, nunaced look at de sade and what might have happened at picpus, sade represent yor film.",positive,neutral,26,6,True,0.8765957446808511,0.9615384615384616,multi_word,3,2025-08-12T00:38:26.105778
7,"it's hard to believe that a relationship like holly and marina's could survive the hothouse emotions of teendom , and its longevity gets more inexplicable as the characterizations turn more crassly reductive .","it 's h ard to believe that a relationship like Buddy Holly a nd marina 's coul d survive the hothouse emotions of teendom, a nd its longevity gts more inexplicable as the cahracterizations turn more cassly redutcive.",negative,negative,35,12,False,1.0,0.0,multi_word,3,2025-08-12T00:38:26.105787
8,friday after next is the kind of film that could only be made by african-americans because of its broad racial insensitivity towards african-americans .,friday after next is the kind of film that cuold only be made by african - americans because of its broad racial insenstiivity toawrds african - americans.,negative,positive,28,3,True,0.9641693811074918,0.10714285714285714,multi_word,3,2025-08-12T00:38:26.105803
9,the worst film of the year .,the worst fi1m o f the ye ar.,negative,negative,8,3,False,1.0,0.0,multi_word,3,2025-08-12T00:38:26.105818
10,"it made me feel unclean , and i'm the guy who liked there's something about mary and both american pie movies . oh , and booty call .","i t nade Maine tone unclean, a nd i ' m the guy wh o liked there 's something about mary and both american pie movies. oh , and booty call .",negative,positive,25,6,True,0.9230769230769231,1.1333333333333333,multi_word,3,2025-08-12T00:38:26.105821
11,"hardly a nuanced portrait of a young woman's breakdown , the film nevertheless works up a few scares .","hardly a nuanced portrait of a young woman 's breakodwn, the film still works up a few scaes.",neutral,positive,17,3,True,0.9025641025641026,0.15,multi_word,3,2025-08-12T00:38:26.105831
12,"this starts off with a 1950's doris day feel and it gets very ugly , very fast . the first five minutes will have you talking 'til the end of the year !","this starts off with a 1950's doris day feel and it gets very ugly , very fast . the first five minutes will have you talking 'til the end of the year !",neutral,neutral,5,0,False,1.0,0.0,multi_word,3,2025-08-12T00:38:26.105839
13,"more vaudeville show than well-constructed narrative , but on those terms it's inoffensive and actually rather sweet .","more vaudeville show than well - constructed narrative, but on tohse terms it 's inoffensive and atcually sooner sweet.",positive,neutral,21,3,True,0.9282700421940928,0.14285714285714285,multi_word,3,2025-08-12T00:38:26.105848
14,'cq may one day be fondly remembered as roman coppola's brief pretentious period before going on to other films that actually tell a story worth caring about,' cq may one day be fondly remembered group A roman coppola 's brief pretetnious period before going on to other films that really tell a story worth caring about,negative,positive,30,3,True,0.9404388714733543,0.7586206896551724,multi_word,3,2025-08-12T00:38:26.105853
15,"the inspirational screenplay by mike rich covers a lot of ground , perhaps too much , but ties things together , neatly , by the end .","the insiprational screenplay by mike rich covers a lot of ground, perhaps too much, but tes things together, netly, by the end.",positive,neutral,23,3,True,0.9655172413793104,0.1111111111111111,multi_word,3,2025-08-12T00:38:26.105866
16,it's probably worth catching solely on its visual merits . if only it had the story to match .,it 's probably worh catching solely on it s visual mrits. if only it had the story to match .,positive,neutral,15,3,True,0.9732620320855615,0.75,multi_word,3,2025-08-12T00:38:26.105871
17,"fairy-tale formula , serves as a paper skeleton for some very good acting , dialogue , comedy , direction and especially charm .","fa iry - tae formula, serves a s a paper skeleton fo r some very good acting, dialogue, comedy, direction and peculiarly char m.",positive,positive,23,6,False,1.0,0.0,multi_word,3,2025-08-12T00:38:26.105878
18,"the color sense of stuart little 2 is its most immediate and most obvious pleasure , but it would count for very little if the movie weren't as beautifully shaped and as delicately calibrated in tone as it is .","the col or sense 0f stuart little 2 is its most immediate and most obviuos pleasure, but it wo uld count for very litle if the movie were n't as beatuifully shaped and as delicately calibrated in tone as it is.",positive,positive,40,6,False,1.0,0.0,multi_word,3,2025-08-12T00:38:26.105883
19,the most surprising thing about this film is that they are actually releasing it into theaters .,the almost surprising thin g about this shoot is that t hey are in reality releasing it into house.,positive,negative,20,6,True,0.8205128205128205,1.0588235294117647,multi_word,3,2025-08-12T00:38:26.105896
