original_text,adversarial_text,original_label,requests_used,training_requests_used,num_perturbed,attack_successful,timestamp
"occasionally funny , always very colorful and enjoyably overblown in the traditional almodóvar style .","occasionally f unny, always very cloorful and enjoyably pontifical in the traditional almodóvra sty le.",positive,22,741,5,False,2025-08-12T00:30:09.783194
becomes the last thing you would expect from a film with this title or indeed from any plympton film : boring .,bceomes the last tihng you would expect from a fi lm with this tit le or indeed from any plymtpon film : boring.,negative,21,741,5,False,2025-08-12T00:30:09.783242
"sodden and glum , even in those moments where it's supposed to feel funny and light .","soppy and g lum, even in those moment$ where it 's supposed to fel laughable and light.",negative,21,741,5,True,2025-08-12T00:30:09.783260
"some movies were made for the big screen , some for the small screen , and some , like ballistic : ecks vs . sever , were made for the palm screen .","some movies were made for the big screen, some for the small screen, and some, like ballistic : ecks v$. sevre, were made for th e palm sceen.",neutral,33,741,4,True,2025-08-12T00:30:09.783275
"it's not only dull because we've seen [eddie] murphy do the genial-rogue shtick to death , but because the plot is equally hackneyed .","it's not only dull because we've seen [eddie] murphy do the genial-rogue shtick to death , but because the plot is equally hackneyed .",negative,14,741,0,False,2025-08-12T00:30:09.783292
"if you're looking for a smart , nuanced look at de sade and what might have happened at picpus , sade is your film .","if you 're looking for a saucy, nuanced l ook at d e s@de and what might have happened at pcpus, sade is your film.",positive,19,741,5,False,2025-08-12T00:30:09.783307
"it's hard to believe that a relationship like holly and marina's could survive the hothouse emotions of teendom , and its longevity gets more inexplicable as the characterizations turn more crassly reductive .","it 's hard to believe that a rel@tionship like holly and mar1na 's could survve the hotouse emotoins of teendom, and its longevity gets more inexplicable as the characterizations turn more crassly reductive.",negative,21,741,5,False,2025-08-12T00:30:09.783323
friday after next is the kind of film that could only be made by african-americans because of its broad racial insensitivity towards african-americans .,friday after next is the variety of plastic film that could only be made by african - American because of its broad racial insensitivty towards african - americans.,negative,18,741,4,True,2025-08-12T00:30:09.783342
the worst film of the year .,th e w orst fil m of the y ear.,negative,10,741,4,True,2025-08-12T00:30:09.783360
"it made me feel unclean , and i'm the guy who liked there's something about mary and both american pie movies . oh , and booty call .","it made me fe3l unclean, and i 'm the guy rope who liked there 's $omething about ma ry and both american pie movies. oh , and booty call .",negative,16,741,4,False,2025-08-12T00:30:09.783372
"hardly a nuanced portrait of a young woman's breakdown , the film nevertheless works up a few scares .","hardly a nuanced portait of a young woman 's breakdown, the film nevertheless works up a few scares.",neutral,3,741,1,True,2025-08-12T00:30:09.783387
"this starts off with a 1950's doris day feel and it gets very ugly , very fast . the first five minutes will have you talking 'til the end of the year !","this starts off with a 1950's doris day feel and it gets very ugly , very fast . the first five minutes will have you talking 'til the end of the year !",neutral,4,741,0,False,2025-08-12T00:30:09.783399
"more vaudeville show than well-constructed narrative , but on those terms it's inoffensive and actually rather sweet .","more vadeville read than well - constructed narrative, but on those t erms it 's inoffensive and actually rather sweet.",positive,9,741,3,True,2025-08-12T00:30:09.783415
