original_text,adversarial_text,original_label,requests_used,num_perturbed,attack_successful,timestamp
"occasionally funny , always very colorful and enjoyably overblown in the traditional almodóvar style .","occasionally queer, @lways vry coloful a nd enojyably overblown in the traditional almodóvar style.",positive,52,8,True,2025-08-07T00:11:23.522189
becomes the last thing you would expect from a film with this title or indeed from any plympton film : boring .,becomes the last thing you would expect from a film with this title or indeed from any plympton film : bring.,negative,27,1,True,2025-08-07T00:11:23.522234
"sodden and glum , even in those moments where it's supposed to feel funny and light .","sodden and glm, even Indiana those moments where it 's supposed to feel funny an d light.",positive,32,3,True,2025-08-07T00:11:23.522278
"some movies were made for the big screen , some for the small screen , and some , like ballistic : ecks vs . sever , were made for the palm screen .","some movies were made for the big screen , some for the small screen , and some , like ballistic : ecks vs . sever, were mad3 f0r the palm scr3en.",neutral,28,4,True,2025-08-07T00:11:23.522314
"it's not only dull because we've seen [eddie] murphy do the genial-rogue shtick to death , but because the plot is equally hackneyed .","it 's not only dull because we 've seen [ eddie ] murphy do the genial - rogue shtick to dea th, but because the pl ot is equally hackneyed.",negative,44,3,True,2025-08-07T00:11:23.522351
"if you're looking for a smart , nuanced look at de sade and what might have happened at picpus , sade is your film .","if you 're looking for a smart, nuanced look at de sade and what might have happened at picpus, sade live your film.",negative,51,6,True,2025-08-07T00:11:23.522394
"it's hard to believe that a relationship like holly and marina's could survive the hothouse emotions of teendom , and its longevity gets more inexplicable as the characterizations turn more crassly reductive .","it ' s h ard t o believe that a relationship like holy and marina ' s cold survive the hothouse emotions of teendom, and its longevity gets more ienxplicable as the characterizations turn more crassly reductive.",negative,91,13,True,2025-08-07T00:11:23.522409
friday after next is the kind of film that could only be made by african-americans because of its broad racial insensitivity towards african-americans .,friday after next is the kind o f fil m that could only be made by african - americans because of its broad racial ins3nsitivity towards african - americans.,negative,42,3,True,2025-08-07T00:11:23.522444
the worst film of the year .,the wors t film of the year.,negative,11,1,True,2025-08-07T00:11:23.522475
"it made me feel unclean , and i'm the guy who liked there's something about mary and both american pie movies . oh , and booty call .","information technology made me feel unclean, and i 'm the g uy w ho liked there 's something about mary and both american pie movies. oh , and booty call .",negative,49,5,True,2025-08-07T00:11:23.522505
"hardly a nuanced portrait of a young woman's breakdown , the film nevertheless works up a few scares .","hardy a nuanced portrait of a Edward Young fair sex 's br3akdown, the take nevertheless works up a few scres.",negative,103,20,False,2025-08-07T00:11:23.522550
"this starts off with a 1950's doris day feel and it gets very ugly , very fast . the first five minutes will have you talking 'til the end of the year !","thi s starts off wi th a 1950 ' s do ris d ay fel an d 1t gets vry ugly, vey fast. the first five minutes will have you talking 'til the end of the year !",negative,86,14,True,2025-08-07T00:11:23.522569
"more vaudeville show than well-constructed narrative , but on those terms it's inoffensive and actually rather sweet .","more vaudeville show thn well - constructed narrative, but on those terms it 's inoffensive and in reality rather sweet.",negative,34,2,True,2025-08-07T00:11:23.522602
'cq may one day be fondly remembered as roman coppola's brief pretentious period before going on to other films that actually tell a story worth caring about,' cq may one day be fondy remembered as roman coppola 's brief pretentious period before going on to other films that actually tell a story worth craing about,positive,39,2,True,2025-08-07T00:11:23.522615
"the inspirational screenplay by mike rich covers a lot of ground , perhaps too much , but ties things together , neatly , by the end .","the inspirational screenplay aside mike ri ch covers a lot of ground, prhaps too much, but ties things together, nealy, by the end.",positive,57,7,True,2025-08-07T00:11:23.522635
it's probably worth catching solely on its visual merits . if only it had the story to match .,it 's probably worth catching soelly on its visual merits. if only it had the story to match .,neutral,19,2,True,2025-08-07T00:11:23.522648
"fairy-tale formula , serves as a paper skeleton for some very good acting , dialogue , comedy , direction and especially charm .","fary - tarradiddle convention, serves American Samoa a ppaer skeleton for some very near acting, dialogue, comedy, direction and especially charm.",positive,64,10,True,2025-08-07T00:11:23.522680
"the color sense of stuart little 2 is its most immediate and most obvious pleasure , but it would count for very little if the movie weren't as beautifully shaped and as delicately calibrated in tone as it is .","the color sense of stuart little 2 is its most immediate and most obvious pleasure, but it would count for very little i f the movie were n't as beautifully shaped and as delicately calibrated in to ne as it is.",positive,75,7,True,2025-08-07T00:11:23.522693
the most surprising thing about this film is that they are actually releasing it into theaters .,the most surprising thing about this fi lm is that they are actually releasing it into theaters.,positive,21,1,True,2025-08-07T00:11:23.522719
a fan film that for the uninitiated plays better on video with the sound turned down .,a f an film that f or the uninitiated plays better on video with the sound turned down.,positive,26,2,True,2025-08-07T00:11:23.522735
"strong filmmaking requires a clear sense of purpose , and in that oh-so-important category , the four feathers comes up short .","strong filmmakig requires a clear sense of purpose, and in that oh - so - important category, the four feathers comes up short.",positive,31,1,True,2025-08-07T00:11:23.522745
". . . an otherwise intense , twist-and-turn thriller that certainly shouldn't hurt talented young gaghan's resume .",". . . an otherwise intense, twist - and - turn thriller t hat certainly should n't hurt talented yong gaghan 's resume.",positive,32,2,True,2025-08-07T00:11:23.522757
cho's timing is priceless .,cho 's timing is prieless.,positive,11,1,True,2025-08-07T00:11:23.522769
. . . a lesson in prehistoric hilarity .,. . . a lessn in prehistoric hilariy.,positive,32,6,False,2025-08-07T00:11:23.522788
"this is a good script , good dialogue , funny even for adults . the characters are interesting and often very creatively constructed from figure to backstory . the film will play equally well on both the standard and giant screens .","this is a god script, god dialogue, rummy eve n fo r adult$. the characters are worry and often very creatively constructed from figure to backstory. the film will play equally well on both the standard and giant screens .",positive,93,15,True,2025-08-07T00:11:23.522802
an almost unbearably morbid love story .,an almost unebarably morbid love sto ry.,negative,16,2,True,2025-08-07T00:11:23.522825
if you grew up on scooby -- you'll love this movie . matthew lillard is born to play shaggy !,if you grew up on scooby -- you 'll jazz th is movie. matthew lillard is born to play shaggy !,positive,23,2,True,2025-08-07T00:11:23.522837
"as conceived by mr . schaeffer , christopher and grace are little more than collections of quirky traits lifted from a screenwriter's outline and thrown at actors charged with the impossible task of making them jell .","as conceived by mr . schaeffer , christopher and grace are little more than collections of quirky traits lifted from a screenwriter's outline and thrown at actors charged with the impossible task of making them jell .",mixed,215,38,False,2025-08-07T00:11:23.522848
"do not , under any circumstances , consider taking a child younger than middle school age to this wallow in crude humor .","do not, nether any circumstances, consider taking a child younger tha n middle school age t o this wallow in crue humor.",negative,48,6,True,2025-08-07T00:11:23.523000
"depicts the sorriest and most sordid of human behavior on the screen , then laughs at how clever it's being .","depicts the sorriest and most sordid of human behavior on the screen, then jape at how clever it 's being.",positive,30,1,True,2025-08-07T00:11:23.523014
